id,hashtag,collected_at,is_relevant
273,#landscapedesign,2025-09-24 13:55:08.812672,True
274,#satisfying,2025-09-24 13:55:08.812675,True
275,#tree,2025-09-24 13:55:08.812677,True
276,#businessowner,2025-09-24 13:55:08.812680,True
277,#funny,2025-09-24 13:55:08.812683,True
278,#chamba,2025-09-24 13:55:08.812686,True
279,#gardening,2025-09-24 13:55:08.812706,True
280,#BackyardGoals,2025-09-24 13:55:08.812710,True
281,#work,2025-09-24 13:55:08.812713,True
282,#foryou,2025-09-24 13:55:08.812715,True
283,#PowerRaking,2025-09-24 13:55:08.812718,True
284,#garden,2025-09-24 13:55:08.812721,True
285,#edginglawn,2025-09-24 13:55:08.812724,True
286,#trees,2025-09-24 13:55:08.812727,True
287,#business,2025-09-24 13:55:08.812730,True
288,#edging,2025-09-24 13:55:08.812732,True
289,#yard,2025-09-24 13:55:08.812735,True
290,#education,2025-09-24 13:55:08.812738,True
291,#money,2025-09-24 13:55:08.812741,True
292,#lawncare,2025-09-24 13:55:08.812744,True
293,#lawn,2025-09-24 13:55:08.812746,True
294,#SummerLawnCare,2025-09-24 13:55:08.812749,True
295,#cleantok,2025-09-24 13:55:08.812752,True
296,#lawnmowing,2025-09-24 13:55:08.812755,True
297,#RealLifeCops,2025-09-24 13:55:08.812758,True
298,#lawntips,2025-09-24 13:55:08.812761,True
299,#satisfyingvideo,2025-09-24 13:55:08.812763,True
300,#lawnmower,2025-09-24 13:55:08.812766,True
301,#njlandscapers,2025-09-24 13:55:08.812769,True
302,#hispanic,2025-09-24 13:55:08.812772,True
303,#landscape,2025-09-24 13:55:08.812775,True
304,#building,2025-09-24 13:55:30.898930,True
305,#home,2025-09-24 13:55:30.899172,True
306,#homemade,2025-09-24 13:55:30.899184,True
307,#empowerment,2025-09-24 13:55:30.899188,True
308,#build,2025-09-24 13:55:30.899192,True
309,#artwork,2025-09-24 13:55:30.899195,True
310,#trending,2025-09-24 13:55:30.899198,True
311,#realestate,2025-09-24 13:55:30.899200,True
312,#crownmoulding,2025-09-24 13:55:30.899203,True
313,#mastercloset,2025-09-24 13:55:30.899206,True
314,#handmade,2025-09-24 13:55:30.899209,True
315,#tips,2025-09-24 13:55:30.899212,True
316,#woodworking,2025-09-24 13:55:30.899215,True
317,#woodcraft,2025-09-24 13:55:30.899217,True
318,#newhome,2025-09-24 13:55:30.899220,True
319,#remodel,2025-09-24 13:55:30.899223,True
320,#skill,2025-09-24 13:55:30.899226,True
321,#wood,2025-09-24 13:55:30.899229,True
322,#hometour,2025-09-24 13:55:30.899232,True
323,#strongertogether,2025-09-24 13:55:30.899234,True
324,#worklife,2025-09-24 13:55:30.899237,True
325,#photography,2025-09-24 13:55:30.899240,True
